Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-CL19,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet21/1,
l3leaf,DC1-CL19,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet21/1,
l3leaf,DC1-CL20,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet22/1,
l3leaf,DC1-CL20,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet22/1,
l3leaf,DC1-CL20,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet22/1,
l3leaf,ISMDC1BL01A,Ethernet3/1,,l3leaf,ISMDC1BL02A,Ethernet3/1,
l3leaf,ISMDC1BL01A,Ethernet4/1,,l3leaf,ISMDC1BL02A,Ethernet4/1,
l3leaf,ISMDC1BL01A,Ethernet25/1,,spine,ISMDC1SP01A,Ethernet1/1,
l3leaf,ISMDC1BL01A,Ethernet26/1,,spine,ISMDC1SP02A,Ethernet1/1,
l3leaf,ISMDC1BL01A,Ethernet27/1,,spine,ISMDC1SP03A,Ethernet1/1,
l3leaf,ISMDC1BL02A,Ethernet25/1,,spine,ISMDC1SP01A,Ethernet2/1,
l3leaf,ISMDC1BL02A,Ethernet26/1,,spine,ISMDC1SP02A,Ethernet2/1,
l3leaf,ISMDC1BL02A,Ethernet27/1,,spine,ISMDC1SP03A,Ethernet2/1,
